Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
11-June-2021,556.40,558.90,551.50,554.30,555.319138407800902343,377905,9344,209857879.00,136241,36.05,7.40,-2.10
10-June-2021,544.80,555.40,544.80,554.25,552.805444674627636580,178119,4272,98465153.00,46140,25.90,10.60,9.45
9-June-2021,554.70,554.70,542.35,544.05,547.315129081383571725,274478,5417,150225962.00,60480,22.03,12.35,-10.65
8-June-2021,550.80,555.50,549.50,550.50,552.366233827350559508,297493,9634,164325088.00,115998,38.99,6.00,-0.30
7-June-2021,544.00,551.15,543.00,548.30,548.127322920918641373,186188,4157,102054730.00,53232,28.59,8.15,4.30
4-June-2021,544.40,545.70,540.45,541.10,542.725721222507854898,224064,4711,121605296.00,60601,27.05,5.25,-3.30
3-June-2021,546.00,550.00,538.35,539.00,542.258307917981405460,284277,8273,154151565.00,89737,31.57,11.65,-7.00
2-June-2021,542.70,544.95,533.05,543.05,538.222905591665774089,177389,4185,95474823.00,35714,20.13,11.90,0.35
1-June-2021,539.90,547.00,539.80,542.70,543.086429407516250342,200765,4293,109032747.00,34577,17.22,7.20,2.80
31-May-2021,539.45,540.35,531.20,538.90,537.118057345526904558,193982,3984,104191235.00,40528,20.89,9.15,-0.55
28-May-2021,540.40,541.00,532.60,538.65,536.211575515843673594,370558,9751,198697489.00,98015,26.45,8.40,-1.75
27-May-2021,528.00,545.00,525.20,541.30,537.421709448845215414,478704,9038,257265922.00,64827,13.54,19.80,13.30
26-May-2021,515.70,530.40,515.10,527.20,525.681773141137098734,320922,5729,168702846.00,48621,15.15,15.30,11.50
25-May-2021,517.40,524.70,515.75,517.50,520.267574875506808692,348011,8338,181058839.00,108800,31.26,8.95,0.10
24-May-2021,512.90,518.50,510.00,514.95,515.719021253280272226,138708,3121,71534354.00,30839,22.23,8.50,2.05
21-May-2021,509.40,515.85,509.40,512.70,513.024980293849989681,295593,8731,151646593.00,137542,46.53,6.45,3.30
20-May-2021,515.15,517.15,503.80,508.40,510.033937622438508660,160795,4588,82010907.00,40408,25.13,13.35,-6.75
19-May-2021,508.00,517.75,505.05,511.55,513.162155847996451279,338150,7851,173525783.00,99066,29.30,12.70,3.55
18-May-2021,505.00,514.75,501.75,508.25,509.916421389063832157,233409,4118,119019082.00,47626,20.40,13.00,3.25
17-May-2021,499.40,503.70,495.00,499.65,499.816650706922773615,177530,3804,88732450.00,33286,18.75,8.70,0.25
14-May-2021,508.25,510.85,492.75,498.35,497.643347461189608359,404402,12789,201247965.00,105208,26.02,18.10,-9.90
12-May-2021,521.45,522.15,496.65,507.85,511.128571499780675519,401232,5292,205081139.00,90314,22.51,25.50,-13.60
11-May-2021,519.00,523.40,514.00,518.25,517.768201911814712661,370538,10714,191852794.00,100501,27.12,9.40,-0.75
10-May-2021,516.10,528.35,513.25,526.00,521.453634536129462507,416862,5980,217374205.00,74088,17.77,15.10,9.90
7-May-2021,512.45,516.50,507.40,515.15,512.933985155792893907,673394,12105,345406668.00,140889,20.92,9.10,2.70
6-May-2021,496.90,514.85,487.45,512.45,506.294919803491698931,1321878,22215,669260116.00,345238,26.12,27.40,15.55
5-May-2021,485.95,495.85,484.65,490.80,490.834492533535813718,395100,5489,193928708.00,51059,12.92,11.20,4.85
4-May-2021,487.00,487.50,477.80,481.85,482.243259291419523313,469869,10880,226591158.00,101959,21.70,9.70,-5.15
3-May-2021,492.40,495.95,483.15,487.50,488.910573106609839330,341385,5598,166906736.00,53808,15.76,12.80,-4.90
30-April-2021,491.50,511.95,489.40,492.40,501.564297397447639817,1478318,23113,741471529.00,174419,11.80,22.55,0.90
29-April-2021,494.00,494.00,485.70,489.90,489.418315449663475692,394028,7995,192844520.00,110851,28.13,8.30,-4.10
28-April-2021,488.00,493.00,481.50,489.45,487.845644542574856969,350101,4640,170795248.00,47428,13.55,11.50,1.45
27-April-2021,481.80,486.90,481.15,485.00,484.100096816493935692,244793,3757,118504315.00,42328,17.29,5.75,3.20
26-April-2021,478.10,483.50,477.15,480.10,479.650851397655049995,363931,4862,174559814.00,41698,11.46,6.35,2.00
